英文名,中文名,美区价格,港区价格,中文,评分,年份
DOOM II (Classic),毁灭战士2 经典版,5,39,,82,2019
Double Dragon Neon,双截龙: 彩虹,10,,,81,2012
Dragon Age: Origins,龙腾世纪:起源,15,99,,88,2014
Dragon Age™ 2,龙腾世纪2,20,,,86,2009
Dragon Age™: Inquisition,龙腾世纪 异端审判,20,159,,88,2014
DRAGON BALL FIGHTERZ,龙珠 斗士Z,60,481,中,86,2018
DRAGON QUEST BUILDERS 2,勇者斗恶龙 创世小玩家 2,50,399,中,85,2019
DRAGON QUEST® XI S,勇者斗恶龙 XI S,40,319,中,88,2018
Dreamscaper,层层梦境,25,194,中,85,2020
EA SPORTS™ FIFA 20,,60,468,中,78,2019
EA SPORTS™ Rory McIlroy PGA TOUR®,,,,,62,2015
EA SPORTS™ UFC® 3,,60,429,中,78,2018
Echo Generation,回声世代,25,194,,77,2021
Edge of Eternity,永恒边缘,30,129,中,64,2021
Eiyuden Chronicle: Rising,百英雄传 崛起,15,118,中,72,2020
Elite Dangerous Standard Edition,精英 危险 标准版,30,,,79,2015
Embr,灭火先锋,20,154,中,67,2020
Empire of Sin,罪恶帝国,40,309,中,62,2020
Evil Genius 2: World Domination,邪恶天才 2 统治世界,40,309,中,78,2021
Exo One,系外一号,17,134,中,81,2021
F1 2020,,60,469,中,88,2020
F1 2021,,60,469,中,85,2021
Fable Anniversary,神鬼寓言,40,,中,68,2014
Fable II,神鬼寓言 2,20,158,中,89,2008
Fable III,神鬼寓言 3,20,158,中,75,2011
Fae Tactics,精灵战记,20,154,中,74,2020
Fallout 3,辐射 3,15,154,,93,2008
Fallout 4,辐射 4,20,154,中,88,2015
Fallout 76,辐射76,40,310,中,53,2018
Fallout: New Vegas,辐射:新维加斯,15,154,,84,2010
FAR: Changing Tides,远方: 涌变暗潮,20,149,中,80,2022
Farming Simulator 19,模拟农场 19,30,239,中,70,2018
Fe,,20,159,,73,2018
Feeding Frenzy,吞食鱼,5,,中,65,2006
Feeding Frenzy 2,吞食鱼2,5,,中,65,2006
FIFA 21,,60,468,中,73,2020
FIGHT NIGHT CHAMPION,拳击之夜 冠军,20,159,,86,2011
FINAL FANTASY XIII,最终幻想13,16,103,中pc,82,2010
FINAL FANTASY XIII-2,最终幻想13-2,20,119,中,79,2012
Firewatch,看火人,20,154,中,80,2016
Flynn: Son of Crimson,弗林: 绯红之子,20,154,中,79,2021
Football Manager 2022 Xbox Edition,足球经理 2022,40,219,中,86,2021
FOR HONOR™ Standard Edition,荣耀战魂 标准版,30,209,中,77,2017
Forager,浮岛物语,20,154,中,76,2019
Forza Horizon 4,极限竞速 地平线 4,60,419,中,92,2018
Forza Horizon 5,极限竞速 地平线 5,60,419,中,92,2021
Frostpunk: Console Edition,冰汽时代 主机版,30,234,中,86,2018
Full Throttle Remastered,极速天龙 复刻版,15,119,,79,2017
Fuzion Frenzy®,生死格斗,10,,,70,2001
